id,title,company_name,location,zipcode,city,state
2754274783,Data Analyst,Mackin Talent,"Menlo Park, CA",94025,Menlo Park,CA
2756452999,Data Analyst,BitGo,"Palo Alto, CA",94301,Palo Alto,CA
2747015998,Data Analyst,ICONMA,"Mountain View, CA",94040,Mountain View,CA
2694261805,Ecommerce Data Analyst,Albertsons Companies,"Pleasanton, CA",94566,Pleasanton,CA
2754275623,Data Analyst,Mackin Talent,"Sunnyvale, CA",94085,Sunnyvale,CA
2725781396,Research Data Analyst,Stanford University,"Stanford, CA",94305,Stanford,CA
2751980568,Rsch Data Analyst 1,Stanford University,"Stanford, CA",94305,Stanford,CA
2737622647,Data Analyst,Apex Systems,"Palo Alto, CA",94301,Palo Alto,CA
2754272834,Data Analyst,Mackin Talent,"Menlo Park, CA",94025,Menlo Park,CA
2743922748,Data Analyst,Jobot,"San Leandro, CA",94577,San Leandro,CA
2751904016,Data Analyst 2,Natera,"San Carlos, CA",94070,San Carlos,CA
2737622592,Data Analyst (Local or Remote),Point,"Palo Alto, CA",94301,Palo Alto,CA
2714824386,Data Analyst,Intapp,"Palo Alto, CA",94301,Palo Alto,CA
2754278111,Data Analyst,Mackin Talent,"Menlo Park, CA",94025,Menlo Park,CA
2763264481,Data Analyst/Junior Data Scientist (2022 Start),Charles River Associates,San Francisco Bay Area,94101,San Francisco,CA
2746739949,Data Analyst,Global Pharma Tek,"Mountain View, CA",94040,Mountain View,CA
2748115285,Data Analyst,Global Pharma Tek,"Mountain View, CA",94040,Mountain View,CA
2749266782,Data Analyst,"Yoh, A Day & Zimmermann Company","Mountain View, CA",94040,Mountain View,CA
2719081941,Data Analyst,"ISI-Dentsu of America, Inc.",San Francisco Bay Area,94101,San Francisco,CA
2756462061,Data Analyst,Avail Medsystems,"Santa Clara, CA",95050,Santa Clara,CA
2727853509,Data Analyst,Universal Audio,"Scotts Valley, CA",95066,Scotts Valley,CA
2741140795,Data Analyst,Global Pharma Tek,"Mountain View, CA",94040,Mountain View,CA
2742827593,DATA ANALYST,Spectraforce Technologies,"Redwood City, CA",94061,Redwood City,CA
2763272838,Data Analyst,Global Pharma Tek,"Mountain View, CA",94040,Mountain View,CA
2742685569,Data Analyst,AgreeYa Solutions,"Redwood City, CA",94061,Redwood City,CA
2646576454,Data Analyst,ICONMA,"Cupertino, CA",95014,Cupertino,CA
2755028918,Data Informatics Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","Sunnyvale, CA",94085,Sunnyvale,CA
2717067254,Rsch Data Analyst 1,Stanford University School of Medicine,"Palo Alto, CA",94301,Palo Alto,CA
2730441922,Research Data Analyst,Stanford University School of Medicine,"Palo Alto, CA",94301,Palo Alto,CA
2726590268,Data Analyst - Immunology,CellCarta,"Fremont, CA",94536,Fremont,CA
2593528716,Data Services Analyst,Albertsons Companies,"Pleasanton, CA",94566,Pleasanton,CA
2746225518,Data/BI Analyst,Randstad USA,San Francisco Bay Area,94101,San Francisco,CA
2723177270,Junior Data Analyst,Staffigo,"San Jose, CA",95101,San Jose,CA
2755075528,Sr .Data Analyst,Proiasys Inc,San Francisco Bay Area,94101,San Francisco,CA
